,action,effectiveness
2358,Release captive-bred green and golden bell frogs,Likely to be ineffective or harmful
2359,Release captive-bred individuals into the wild to restore or augment wild populations of bustards,Unknown effectiveness (limited evidence)
2360,Release captive-bred individuals into the wild to restore or augment wild populations of cranes,Likely to be beneficial
2361,Release captive-bred individuals into the wild to restore or augment wild populations of gamebirds,Unknown effectiveness (limited evidence)
2362,Release captive-bred individuals into the wild to restore or augment wild populations of owls,Unknown effectiveness (limited evidence)
2363,Release captive-bred individuals into the wild to restore or augment wild populations of parrots,Unknown effectiveness (limited evidence)
2364,Release captive-bred individuals into the wild to restore or augment wild populations of pigeons,Unknown effectiveness (limited evidence)
2365,Release captive-bred individuals into the wild to restore or augment wild populations of rails,Unknown effectiveness (limited evidence)
2366,Release captive-bred individuals into the wild to restore or augment wild populations of raptors,Likely to be beneficial
2367,Release captive-bred individuals into the wild to restore or augment wild populations of songbirds,Likely to be beneficial
2368,Release captive-bred individuals into the wild to restore or augment wild populations of storks and ibises,Unknown effectiveness (limited evidence)
2369,Release captive-bred individuals into the wild to restore or augment wild populations of vultures,Likely to be beneficial
2370,Release captive-bred individuals into the wild to restore or augment wild populations of waders,Unknown effectiveness (limited evidence)
2371,Release captive-bred individuals into the wild to restore or augment wild populations of wildfowl,Unknown effectiveness (limited evidence)
2372,Release captive-bred individuals to re-establish or boost populations in native range,Beneficial
2373,Release captive-bred Mallorcan midwife toads,Trade-off between benefit and harms
2374,Release captive-bred mammals into fenced areas,Beneficial
2375,Release captive-bred marine and freshwater mammals to re-establish or boost native populations,Unknown effectiveness (limited evidence)
2376,Release captive-bred reptiles into the wild: Crocodilians,Awaiting assessment
2377,Release captive-bred reptiles into the wild: Sea turtles,Awaiting assessment
2378,Release captive-bred reptiles into the wild: Snakes & lizards,Awaiting assessment
2379,"Release captive-bred reptiles into the wild: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
2380,Release captive-bred reptiles into the wild: Tuatara,Awaiting assessment
2381,Release captive-bred salamanders (including newts),Unknown effectiveness (limited evidence)
2382,Release captive-bred toads,Trade-off between benefit and harms
2383,Release fish that are carrying eggs or live young,Awaiting assessment
2384,Release live unwanted catch first before handling commercial species,No evidence found (no assessment)
2385,Release males of species known to guard nests during breeding 	season,Awaiting assessment
2386,Release protected or species of concern alive after capture,Awaiting assessment
2387,Release reptiles born/hatched in captivity from wild-collected eggs/wild-caught females without rearing,Awaiting assessment
2388,Release reptiles into burrows,Awaiting assessment
2389,Release reptiles outside of their native range,Awaiting assessment
2390,Release translocated mammals into fenced areas,Beneficial
2391,"Release translocated/captive-bred mammals at a specific time (e.g. season, day/night)",Likely to be beneficial
2392,Release translocated/captive-bred mammals in areas with invasive/problematic species eradication/control,Beneficial
2393,Release translocated/captive-bred mammals in family/social groups,Beneficial
2394,Release translocated/captive-bred mammals in larger unrelated groups,Likely to be beneficial
2395,Release translocated/captive-bred mammals into area with artificial refuges/breeding sites,Beneficial
2396,Release translocated/captive-bred mammals to areas outside historical range,Likely to be beneficial
2397,Release translocated/captive-bred mammals to islands without invasive predators,Likely to be beneficial
2398,Relocate access points to bat roosts within developments,Unknown effectiveness (limited evidence)
2399,Relocate bat colonies roosting inside dams,Unknown effectiveness (limited evidence)
2400,Relocate bats from reclaimed mines to alternative subterranean roost sites,No evidence found (no assessment)
2401,Relocate birds following oil spills,Unknown effectiveness (limited evidence)
2402,Relocate local pastoralist communities to reduce human-wildlife conflict,Unknown effectiveness (limited evidence)
2403,Relocate marine and freshwater mammals following oil spills,No evidence found (no assessment)
2404,Relocate nestlings to reduce poaching,Unknown effectiveness (limited evidence)
2405,Relocate nests at harvest time to reduce nestling mortality,Likely to be beneficial
2406,Relocate nests/eggs for artificial incubation: Crocodilians,Awaiting assessment
2407,Relocate nests/eggs for artificial incubation: Lizards,Awaiting assessment
2408,Relocate nests/eggs for artificial incubation: Sea turtles,Awaiting assessment
2409,Relocate nests/eggs for artificial incubation: Snakes,Awaiting assessment
2410,"Relocate nests/eggs for artificial incubation: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
2411,Relocate nests/eggs for artificial incubation: Tuatara,Awaiting assessment
2412,Relocate nests/eggs to a hatchery: Crocodilians,No evidence found (no assessment)
2413,Relocate nests/eggs to a hatchery: Sea turtles,Awaiting assessment
2414,Relocate nests/eggs to a hatchery: Snakes & lizards,No evidence found (no assessment)
2415,"Relocate nests/eggs to a hatchery: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
2416,Relocate nests/eggs to a hatchery: Tuatara,No evidence found (no assessment)
2417,Relocate nests/eggs to a nearby natural setting (not including hatcheries): Crocodilians,No evidence found (no assessment)
2418,Relocate nests/eggs to a nearby natural setting (not including hatcheries): Sea turtles,Awaiting assessment
2419,Relocate nests/eggs to a nearby natural setting (not including hatcheries): Snakes & lizards,No evidence found (no assessment)
2420,"Relocate nests/eggs to a nearby natural setting (not including hatcheries): Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
2421,Relocate nests/eggs to a nearby natural setting (not including hatcheries): Tuatara,No evidence found (no assessment)
2422,Relocate primates to non-residential areas,No evidence found (no assessment)
2423,Relocate reptiles (including eggs and hatchlings) following oil spills,Evidence not assessed
2424,Remove alien invasive vegetation where the latter has a clear negative effect on the primate species in question,No evidence found (no assessment)
2425,Remove and clean-up shoreline waste disposal sites,No evidence found (no assessment)
2426,Remove and clean-up shoreline waste disposal sites,Unknown effectiveness (limited evidence)
2427,Remove and relocate ‘problem’ animals,Likely to be beneficial
2428,Remove and relocate habitat-forming (biogenic) species before onset of impactful activities,Unknown effectiveness (limited evidence)
2429,Remove and relocate invertebrate species before onset of impactful activities,No evidence found (no assessment)
2430,Remove biofouling organisms/species in aquaculture,No evidence found (no assessment)
2431,Remove brood parasite eggs from target species’ nests,Unknown effectiveness (limited evidence)
2432,Remove burned trees,Unknown effectiveness (limited evidence)
2433,Remove burnt trees and branches after wildfire,Unlikely to be beneficial
